"name","taxon","phylum","source"
"Pseudomonas sp. 2_1_26","287","Proteobacteria","HMP_2018"
"Helicobacter pylori HP250AFiii","1159067","Proteobacteria","HMP_2018"
"Clostridium hathewayi WAL-18680","742737","Firmicutes","HMP_2018"
"Veillonella sp. 3_1_44","457416","Firmicutes","HMP_2018"
"Barnesiella intestinihominis YIT 11860","742726","Bacteroidetes","HMP_2018"
"Staphylococcus sp. HGB0015","1078083","Firmicutes","HMP_2018"
"Bacteroides xylanisolvens XB1A","657309","Bacteroidetes","HMP_2018"
"Bacteroides coprophilus DSM 18228 = JCM 13818","547042","Bacteroidetes","HMP_2018"
"Lactobacillus reuteri CF48-3A","525341","Firmicutes","HMP_2018"
"Eubacterium hallii DSM 3353","411469","Firmicutes","HMP_2018"
"Coprococcus sp. HPP0048","1078091","Firmicutes","HMP_2018"
"Helicobacter pylori GAM93Bi","1159057","Proteobacteria","HMP_2018"
"Escherichia coli MS 115-1","749537","Proteobacteria","HMP_2018"
"Phascolarctobacterium succinatutens YIT 12067","626939","Firmicutes","HMP_2018"
"Helicobacter pylori HP250BFiii","1159073","Proteobacteria","HMP_2018"
"Eubacterium siraeum V10Sc8a","717961","Firmicutes","HMP_2018"
"Bifidobacterium longum subsp. longum 2-2B","1161745","Actinobacteria","HMP_2018"
"Lachnospiraceae bacterium 2_1_46FAA","742723","Firmicutes","HMP_2018"
"Actinomyces sp. HPA0247","1203556","Actinobacteria","HMP_2018"
"Lactobacillus buchneri ATCC 11577","525318","Firmicutes","HMP_2018"
"Helicobacter pylori GAM80Ai","1159054","Proteobacteria","HMP_2018"
"Prevotella stercorea DSM 18206","1002367","Bacteroidetes","HMP_2018"
"Lachnospiraceae bacterium 5_1_57FAA","658085","Firmicutes","HMP_2018"
"Hafnia alvei ATCC 51873","1002364","Proteobacteria","HMP_2018"
"Lactobacillus fermentum IFO 3956","334390","Firmicutes","HMP_2018"
"Helicobacter winghamensis ATCC BAA-430","556267","Proteobacteria","HMP_2018"
"Veillonella sp. 6_1_27","450749","Firmicutes","HMP_2018"
"Flavonifractor plautii ATCC 29863","411475","Firmicutes","HMP_2018"
"Helicobacter pylori GAM246Ai","1159037","Proteobacteria","HMP_2018"
"Lactobacillus ultunensis DSM 16047","525365","Firmicutes","HMP_2018"
"Escherichia coli MS 45-1","749528","Proteobacteria","HMP_2018"
"Coprobacillus sp. D7","556270","Firmicutes","HMP_2018"
"Anaerobaculum hydrogeniformans ATCC BAA-1850","592015","Synergistetes","HMP_2018"
"Bifidobacterium bifidum NCIMB 41171","398513","Actinobacteria","HMP_2018"
"Odoribacter laneus YIT 12061","742817","Bacteroidetes","HMP_2018"
"Bifidobacterium adolescentis L2-32","411481","Actinobacteria","HMP_2018"
"Bacteroides uniformis ATCC 8492","411479","Bacteroidetes","HMP_2018"
"Parabacteroides merdae ATCC 43184","411477","Bacteroidetes","HMP_2018"
"Ruminococcus bromii L2-63","657321","Firmicutes","HMP_2018"
"Helicobacter pylori HP250BFi","1159071","Proteobacteria","HMP_2018"
"Enterococcus faecalis TX1322","525278","Firmicutes","HMP_2018"
"Sutterella parvirubra YIT 11816","762967","Proteobacteria","HMP_2018"
"Clostridium sp. M62/1","411486","Firmicutes","HMP_2018"
"Helicobacter pylori GAM42Ai","1159052","Proteobacteria","HMP_2018"
"Collinsella tanakaei YIT 12063","742742","Actinobacteria","HMP_2018"
"Helicobacter pylori GAM260Bi","1159045","Proteobacteria","HMP_2018"
"Helicobacter pylori GAM245Ai","1159036","Proteobacteria","HMP_2018"
"Bilophila sp. 4_1_30","693988","Proteobacteria","HMP_2018"
"Prevotella salivae DSM 15606","888832","Bacteroidetes","HMP_2018"
"Helicobacter pylori 35A","585535","Proteobacteria","HMP_2018"
"Weissella paramesenteroides ATCC 33313","585506","Firmicutes","HMP_2018"
"Eubacterium ventriosum ATCC 27560","411463","Firmicutes","HMP_2018"
"Lactobacillus hilgardii ATCC 8290","1423757","Firmicutes","HMP_2018"
"Ruminococcus torques L2-14","657313","Firmicutes","HMP_2018"
"Lactobacillus rhamnosus ATCC 21052","1002365","Firmicutes","HMP_2018"
"Succinatimonas hippei YIT 12066","762983","Proteobacteria","HMP_2018"
"Lachnospiraceae bacterium 5_1_63FAA","658089","Firmicutes","HMP_2018"
"Escherichia coli MS 85-1","679202","Proteobacteria","HMP_2018"
"Citrobacter freundii 4_7_47CFAA","742730","Proteobacteria","HMP_2018"
"butyrate-producing bacterium SS3/4","245014","Firmicutes","HMP_2018"
"Pediococcus acidilactici DSM 20284","862514","Firmicutes","HMP_2018"
"Fusobacterium nucleatum subsp. animalis ATCC 51191","997347","Fusobacteria","HMP_2018"
"Bacteroides xylanisolvens SD CC 2a","702444","Bacteroidetes","HMP_2018"
"Lactobacillus reuteri SD2112","491077","Firmicutes","HMP_2018"
"Coprococcus catus GD/7","717962","Firmicutes","HMP_2018"
"Helicobacter pylori GAM103Bi","1159021","Proteobacteria","HMP_2018"
"Escherichia coli MS 60-1","749530","Proteobacteria","HMP_2018"
"Escherichia coli MS 84-1","749533","Proteobacteria","HMP_2018"
"Bacteroides salyersiae WAL 10018 = DSM 18765 = JCM 12988","1121101","Bacteroidetes","HMP_2018"
"Dermabacter sp. HFH0086","1203568","Actinobacteria","HMP_2018"
