Species,CSUR number,Phylum,Category,C,D,E,F,G,H,I,J,K,N° of Id
Abiotrophia defectiva,CSURP616,Firmicutes,H(GUT),3,1,1,,,,,,,6
Acetobacter pasteurianus,CSURP2066,Proteobacteria,NH,,,,,,X,,,,1
Acidaminococcus fermentans,ND,Firmicutes,H(GUT),,,,,1,,,,,2
Acidaminococcus intestini,CSURP1132,Firmicutes,H(GUT),X,,,3,,,,,,4
Acidaminococcus massiliensis ,CSURP2828,Firmicutes,NS,,,,,,,,,X,1
Acidaminococcus timonensis,CSURP2764,Firmicutes,NS,,,,,,,,,X,1
Acinetobacter baumannii,ND,Proteobacteria,H(GUT),,X,1,,1,,,,,3
Acinetobacter junii,CSURP1133,Proteobacteria,NH,,X,,,,,,,,1
Acinetobacter lwoffii,CSURP786,Proteobacteria,H(GUT),4,1,,1,,3,,,,1
Acinetobacter pittii,CSURP610,Proteobacteria,H,1,2,,,,,,,,4
Acinetobacter radioresistens,CSURP1006,Proteobacteria,H,2,7,1,,,,,,,11
Acinetobacter septicus,CSURP1710,Proteobacteria,H,,X,,,,,,,,1
Acinetobacter towneri,ND,Proteobacteria,NH,,,1,,,,,,,2
Acinetobacter ursingii,CSURP772,Proteobacteria,H,,X,,,,,,,,1
Acinetobacter variabilis,CSURP2092,Proteobacteria,H,,X,,,,,,,,1
Actinobaculum massiliense,CSURP1982,Actinobacteria,H,,,X,,,,,,,1
Actinomyces bouchesdurhonensis,CSURP2825,Actinobacteria,NS,,,,,,,,,X,1
Actinomyces dentalis,ND,Actinobacteria,H,X,,,,,,,,,1
Actinomyces europaeus,CSURP605,Actinobacteria,H,,X,,,,,,,,1
Actinomyces graevenitzii,Inprogress,Actinobacteria,H,,,,X,,,,,,1
Actinomyces ihumii,CSURP2006,Firmicutes,NS,,,,,,X,,,,1
Actinomyces johnsonii,CSURP2016,Actinobacteria,H,,X,,,,,,,,1
Actinomyces naeslundii,CSURP678,Actinobacteria,H(GUT),2,1,,,,,,,,4
Actinomyces neuii,CSURP907,Actinobacteria,H,X,,1,,,,,,,2
Actinomyces odontolyticus,CSURP2379,Actinobacteria,H(GUT),2,9,,,,2,,,,14
Actinomyces oris,CSURP739,Actinobacteria,H(GUT),4,7,,1,,,,,,13
Actinomyces phoceensis,CSURP1984,Actinobacteria,NS,,X,,,,,,,,1
Actinomyces polynesiensis,CSURP658,Actinobacteria,NS,X,,1,,,1,,,,3
Actinomyces provencensis,CSURP2166,Actinobacteria,NS,,,,,,X,,,,1
Actinomyces radingae,CSURP983,Actinobacteria,H(GUT),2,6,1,,,2,,,,12
Actinomyces turicensis,CSURP1128,Actinobacteria,H(GUT),,X,,1,,,,,1,3
Actinomyces urogenitalis,CSURP1180,Actinobacteria,H,X,6,1,,,2,,,,1
Adlercreutzia equolifaciens,ND,Actinobacteria,H(GUT),,1,,,,,,,,2
Aerococcus viridans,CSURP751,Firmicutes,H(GUT),4,1,,,,,,,,6
Aeromicrobium tamlense,CSURP1208,Actinobacteria,NH,,X,,,,,,,,1
Aeromonas bestiarum,CSURP1135,Proteobacteria,H(GUT),,1,,,X,,,,,2
Aeromonas caviae,CSURP636,Proteobacteria,H(GUT),,X,,,,,,,,1
Aeromonas enteropelogenes,ND,Proteobacteria,H(GUT),,X,,,,,,,,1
Aeromonas eucrenophila,ND,Proteobacteria,H(GUT),,1,,,X,,,,,2
Aeromonas hydrophila,CSURP845,Proteobacteria,H(GUT),,X,,,,1,,,,2
Aeromonas jandaei,ND,Proteobacteria,H(GUT),,X,,,,,,,,1
Aeromonas popoffii,ND,Proteobacteria,H,,1,,,X,,,,,2
Aeromonas salmonicida,ND,Proteobacteria,H(GUT),,1,,,X,,,,,2
Aeromonas schubertii,ND,Proteobacteria,H(GUT),,X,,,,,,,,1
Aeromonas veronii,ND,Proteobacteria,H(GUT),,,,,,X,,,,1
Africanella massiliensis,CSURP2538,Firmicutes,NS,,X,,,,,,,,1
Aggregatibacter aphrophilus,CSURP1062,Proteobacteria,H(GUT),X,,,,,,,,,1
Aggregatibacter segnis,Inprogress,Proteobacteria,H(GUT),,,,X,,,,,,1
Agrococcus casei,CSURP2239,Actinobacteria,NH,,X,,,,,,,,1
Agrococcus jenensis,ND,Actinobacteria,NH,1,,,,,,,,,2
Akkermansia muciniphila,CSURP2261,Verrucomicrobia,H(GUT),,,,X,,,,,,1
Alcaligenes faecalis,CSURP580,Proteobacteria,H(GUT),,4,,,,,,,,5
Alistipes finegoldii,CSURP555,Bacteroidetes,H(GUT),1,13,,2,,,,,,17
Alistipes ihumii,CSURP204,Bacteroidetes,NS,,,,,,1,,,,2
Alistipes indistinctus,CSURP723,Bacteroidetes,H(GUT),3,7,1,3,,2,,,1,18
Alistipes jeddahensis,CSURP1209,Bacteroidetes,NS,,X,,3,,,,,1,5
Alistipes massiliensis,CSURP2263,Bacteroidetes,H(GUT),,,,X,,,,,,1
Alistipes obesihominis,CSURP186,Bacteroidetes,NS,,2,,6,,,,,,9
Alistipes onderdonkii,CSURP591,Bacteroidetes,H(GUT),2,17,1,8,,,,,,29
Alistipes phoceensis,CSURP1461,Bacteroidetes,NS,,,,X,,,,,,1
Alistipes provencensis,CSURP2431,Bacteroidetes,NS,,,,X,,,,,,1
Alistipes putredinis,CSURP1137,Bacteroidetes,H(GUT),,X,,1,,,,,,2
Alistipes senegalensis,CSURP150,Bacteroidetes,NS,,2,,,,,,,,3
Alistipes shahii,CSURP808,Bacteroidetes,H(GUT),1,7,,3,,,,,,12
Alistipes timonensis,CSURP148,Bacteroidetes,NS,,2,,,,,,,,3
Alkalibacillus halophilus,Inprogress,Firmicutes,NH,,,X,,,,,,,1
Allisonella histaminiformans,CSURP2249,Firmicutes,NH,,,,X,,,,,,1
Alloscardovia omnicolens,Inprogress,Actinobacteria,H,,,,X,,,,,,1
Anaerococcus hydrogenalis,CSURP1181,Firmicutes,H(GUT),1,1,,,,,,,,3
Anaerococcus jeddahensis,CSURP1914,Firmicutes,NS,,X,,,,,,,,1
Anaerococcus murdochii,CSURP1063,Firmicutes,H,,X,,,,,,,,1
Anaerococcus octavius,CSURP120,Firmicutes,H,,,,,,,,,X,1
Anaerococcus prevotii,CSURP1036,Firmicutes,H,,X,,,,,,,,1
Anaerococcus provencensis,Inprogress,Firmicutes,H(GUT),,X,,,,,,,,1
Anaerococcus rubiinfantis,CSURP2032,Firmicutes,NS,,X,,,,,,,,1
Anaerococcus vaginalis,CSURP118,Firmicutes,H(GUT),4,18,,1,,,,,1,25
Anaerofustis massiliensis,CSURP2441,Firmicutes,NS,,,,X,,,,,,1
Anaerofustis stercorihominis,CSURP302,Firmicutes,H(GUT),,,,,,X,,,,1
Anaeroglobus geminatus,CSURP2834,Firmicutes,H,,,,X,,,,,,1
Anaeromassilibacillus senegalensis,CSURP1511,Firmicutes,NS,,X,,,,,,,,1
Anaerosalibacter bizertensis,CSURP1088,Firmicutes,NH,,1,,,,,X,,,2
Anaerosalibacter massiliensis,CSURP761,Firmicutes,NS,1,11,,,,,X,,,13
Anaerosalibacter timonensis,CSURP3206,Firmicutes,NS,,X,,,,,,,,1
Anaerospora hongkongensis,CSURP2374,Firmicutes,H,,X,,,,,,,,1
Anaerostipes caccae,CSURP2083,Firmicutes,H(GUT),,1,X,1,,,,,,3
Anaerotruncus colihominis,CSURP265,Firmicutes,H(GUT),1,4,1,1,,,,,1,9
Anaerotruncus massiliensis,CSURP2007,Firmicutes,NS,,,X,1,,,,1,,3
Anaerotruncus rubiinfantis,CSURP2276,Firmicutes,NS,,X,,,,,,,,1
Aneurinibacillus aneurinilyticus,CSURP877,Firmicutes,H(GUT),X,1,1,,,,,,,12
Aneurinibacillus migulanus,CSURP802,Firmicutes,NH,,1,1,,,,,,,3
Anoxybacillus flavithermus,CSURP3086,Firmicutes,NH,,,,,,,,,X,1
Aquamicrobium lusatiense,ND,Proteobacteria,NH,,,,,,X,,,,1
Arabia massiliensis,CSURP3078,Actinobacteria,NS,,X,,,,,,,,1
Arthrobacter agilis,CSURP2254,Actinobacteria,NH,,X,,,,,,,,1
Arthrobacter albus,CSURP725,Actinobacteria,H,2,,,,,,,,,3
Arthrobacter aurescens,CSURP832,Actinobacteria,H,X,,,,,,,,,1
Arthrobacter castelli,CSURP690,Actinobacteria,NH,3,3,,,,,,,,7
Arthrobacter cumminsii,CSURP603,Actinobacteria,H,X,1,,,,,,,,2
Arthrobacter gandavensis,CSURP1007,Actinobacteria,NH,X,7,,,,,,,,8
Arthrobacter ilicis,ND,Actinobacteria,NH,X,,,,,,,,,1
Arthrobacter koreensis,ND,Actinobacteria,NH,,X,,,,,,,,1
Arthrobacter luteolus,ND,Actinobacteria,H,,X,,,,,,,,1
Arthrobacter oxydans,ND,Actinobacteria,H,1,1,1,,,,,,,4
Arthrobacter parietis,ND,Actinobacteria,NH,,,,,,,,X,,1
Arthrobacter pigmenti,ND,Actinobacteria,NH,X,,,,,,,,,1
Arthrobacter polychromogenes,CSURP805,Actinobacteria,H,1,,1,,,,,,,3
Arthrobacter pyridinolis,ND,Actinobacteria,NH,,X,,,,,,,,1
Atopobium parvulum,Inprogress,Firmicutes,H(GUT),,,,X,,,,,,1
Bacillus altitudinis,CSURP1977,Firmicutes,NH,,X,,,,,,,,1
Bacillus amyloliquefaciens,CSURP1697,Firmicutes,H,3,13,2,,,2,,,,21
Bacillus andreesenii,CSURP2610,Firmicutes,NH,,X,,,,,,,,1
Bacillus andreraoultii,CSURP1162,Firmicutes,NS,,X,,,,,,,,1
Bacillus aquimaris,CSURP1240,Firmicutes,NH,,,,,,,X,,,1
Bacillus arsenicus,CSURP754,Firmicutes,NH,1,2,,,,,,,,4
Bacillus badius,CSURP835,Firmicutes,H(GUT),,11,1,,,,,,,13
Bacillus baekryungensis,CSURP1526,Firmicutes,NH,,,X,,,,,,,1
Bacillus bataviensis,CSURP1139,Firmicutes,NH,,X,,,,,,,,1
Bacillus cereus,CSURP753,Firmicutes,H(GUT),12,69,1,,,2,1,,,86
Bacillus circulans,CSURP655,Firmicutes,H(GUT),4,22,1,,,1,,,,29
Bacillus clausii,CSURP675,Firmicutes,H(GUT),1,5,1,2,,,,,,1
Bacillus coagulans,CSURP1163,Firmicutes,H,X,2,,,,,,,,3
Bacillus cohnii,CSURP873,Firmicutes,NH,,X,,,,,,,,1
Bacillus endophyticus,CSURP1236,Firmicutes,NH,,1,1,,,,1,,,4
Bacillus firmus,CSURP654,Firmicutes,H,5,17,,,,,,,,23
Bacillus flexus,CSURP670,Firmicutes,H(GUT),4,21,1,,,,,,,27
Bacillus fordii,CSURP633,Firmicutes,H(GUT),,X,,,,,,,,1
Bacillus galactosidilyticus,CSURP1008,Firmicutes,NH,,X,1,,,,,,,2
Bacillus gibsonii,CSURP710,Firmicutes,NH,X,,,,,,,,,1
Bacillus halodurans,CSURP1087,Firmicutes,NH,1,,,,,,X,,,2
Bacillus humi,CSURP652,Firmicutes,NH,,,,X,,,,,1,2
Bacillus idriensis,CSURP783,Firmicutes,H,X,2,,,,,,,,3
Bacillus infantis,CSURP676,Firmicutes,H,1,3,,,,,,,,5
Bacillus jeddahensis,CSURP732,Firmicutes,NS,,X,,,,,,,,1
Bacillus jeddahtimonensis,CSURP977,Firmicutes,NS,,X,,,,,,,,1
Bacillus jeotgali,CSURP1253,Firmicutes,NH,1,3,,,,,X,,,5
Bacillus koreensis,ND,Firmicutes,NH,,X,2,,,,,,,3
Bacillus kyonggiensis,CSURP1140,Firmicutes,NH,,X,,,,,,,,1
Bacillus lentus,CSURP1241,Firmicutes,H(GUT),,,,,,,X,,,1
Bacillus licheniformis,CSURP773,Firmicutes,H(GUT),1,24,1,4,,2,1,,1,44
Bacillus litoralis,ND,Firmicutes,NH,,,,,,,X,,,1
Bacillus marisflavi,CSURP574,Firmicutes,NH,,1,1,,,,1,,,4
Bacillus massilioamazoniensis,CSURP1359,Firmicutes,NS,,X,,,,,,,,1
Bacillus massiliogabonensis,CSURP2639,Firmicutes,NS,,X,,,,,,,,1
Bacillus massilionigeriensis,CSURP2366,Firmicutes,NS,,X,,,,,,,,1
Bacillus massiliosenegalensis,CSURP151,Firmicutes,NS,,X,,,,,,,,1
Bacillus mediterraneensis,CSURP2348,Firmicutes,NS,,X,,,,,,,,1
Bacillus megaterium,CSURP688,Firmicutes,H(GUT),5,1,2,,,,1,,,19
Bacillus methylotrophicus,CSURP2575,Firmicutes,H(GUT),,X,,,,,1,,,2
Bacillus mojavensis,CSURP1524,Firmicutes,NH,1,8,1,,,,,,,11
Bacillus mycoides,CSURP1009,Firmicutes,H,1,2,1,,,,,,,5
Bacillus nealsonii,CSURP2085,Firmicutes,NH,,4,,,,2,,,,7
Bacillus niabensis,CSURP2022,Firmicutes,NH,,2,,,,,,,,3
Bacillus niacini,ND,Firmicutes,NH,,1,,,,,,,,2
Bacillus niameyensis,CSURP1266,Firmicutes,NS,,X,,,,,,,,1
Bacillus okuhidensis,ND,Firmicutes,NH,X,,,,,,,,,1
Bacillus oleronius,CSURP1189,Firmicutes,H,X,,,,,,,,,1
Bacillus oshimensis,CSURP794,Firmicutes,NH,,1,,,,,X,,,2
Bacillus pakistanensis,CSURP2292,Firmicutes,NH,,X,,,,,,,,1
Bacillus phoceensis,CSURP2184,Firmicutes,NS,,X,,,,,,,,1
Bacillus pichinotyi,Inprogress,Firmicutes,NH,,X,,,,,,,,1
Bacillus pocheonensis,CSURP581,Firmicutes,NH,X,,,,,,,,,1
Bacillus pseudomycoides,ND,Firmicutes,NH,,,X,,,,,,,1
Bacillus pumilus,CSURP505,Firmicutes,H(GUT),6,36,2,2,,2,1,,,5
Bacillus rubiinfantis,CSURP1141,Firmicutes,NS,,X,,,,,,,,1
Bacillus saudii,ND,Firmicutes,NS,,X,,,,,,,,1
Bacillus simplex,CSURP558,Firmicutes,H(GUT),6,8,1,,,,,,,16
Bacillus siralis,CSURP780,Firmicutes,NH,4,24,1,,,,,,,3
Bacillus soli,ND,Firmicutes,NH,,X,,,,,,,,1
Bacillus sonorensis,CSURP939,Firmicutes,H(GUT),1,2,,,,,,,,4
Bacillus subterraneus ,CSURP1270,Firmicutes,NH,,X,,,,,,,,1
Bacillus subtilis,CSURP1764,Firmicutes,H(GUT),7,37,2,,,2,2,,,51
Bacillus testis,CSURP1492,Firmicutes,NS,,X,,,,,,,,1
Bacillus thermoamylovorans,CSURP776,Firmicutes,H(GUT),3,23,,,,,,,,27
Bacillus thuringiensis,CSURP820,Firmicutes,H(GUT),,2,2,,,,,,,5
Bacillus timonensis,CSURP162,Firmicutes,NS,,1,,,,2,,,,4
Bacillus touaregensis,CSURP2489,Firmicutes,NS,,X,,,,,,,,1
Bacillus vallismortis,CSURP984,Firmicutes,NH,3,2,1,,,2,2,,,29
Bacillus vietnamensis,CSURP799,Firmicutes,NH,1,,,,,,X,,,2
Bacillus weihenstephanensis,CSURP696,Firmicutes,NH,X,1,1,,,,,,,3
Bacteroides bouchedurhonense,CSURP2653,Bacteroidetes,NS,,,,X,,,,,,1
Bacteroides caccae,CSURP703,Bacteroidetes,H(GUT),,9,1,3,,,,,1,15
Bacteroides cellulosilyticus,CSURP1931,Bacteroidetes,H(GUT),2,5,1,3,,2,,,1,15
Bacteroides clarus,CSURP3085,Bacteroidetes,H(GUT),,,,,,,,,X,1
Bacteroides congolense,CSURP3132,Bacteroidetes,NS,,X,,,,,,,,1
Bacteroides coprocola,CSURP2744,Bacteroidetes,H(GUT),,,,,,,,,W,1
Bacteroides eggerthii,ND,Bacteroidetes,H(GUT),,1,,1,,,,,,3
Bacteroides finegoldii,ND,Bacteroidetes,H(GUT),,,X,,,,,,,1
Bacteroides fragilis,CSURP444,Bacteroidetes,H(GUT),6,34,1,1,1,,,,1,54
Bacteroides graminisolvens,CSURP1196,Bacteroidetes,NH,X,1,1,,,,,,,3
Bacteroides intestinalis,CSURP836,Bacteroidetes,H(GUT),2,2,2,2,,,,,,9
Bacteroides massiliensis,CSURP1495,Bacteroidetes,H,,,,3,,,,,,4
Bacteroides mediterraneense,CSURP2644,Bacteroidetes,NS,,,,,,,,,X,1
Bacteroides neonati,CSURP1500,Bacteroidetes,NS,,,X,,1,,,,,2
Bacteroides nordii,CSURP1040,Bacteroidetes,H(GUT),1,6,1,,,,,,,9
Bacteroides ovatus,CSURP1011,Bacteroidetes,H(GUT),6,33,1,6,1,2,,,1,51
Bacteroides phoceense,CSURP2244,Bacteroidetes,NS,,,,X,,,,,,1
Bacteroides salyersiae,CSURP1498,Bacteroidetes,H(GUT),,7,,2,1,,,,1,12
Bacteroides stercoris,CSURP1142,Bacteroidetes,H(GUT),1,,,1,,,,,1,4
Bacteroides thetaiotaomicron,CSURP575,Bacteroidetes,H(GUT),5,18,2,4,1,,,,1,32
Bacteroides timonense,CSURP194,Bacteroidetes,NS,X,2,,2,,,,,,5
Bacteroides uniformis,CSURP763,Bacteroidetes,H(GUT),6,33,1,11,1,2,,,1,56
Bacteroides vulgatus,CSURP866,Bacteroidetes,H(GUT),4,22,1,8,1,2,,,1,4
Bacteroides xylanolyticus,CSURP2455,Bacteroidetes,NH,,X,,,,,,,,1
Barnesiella intestinihominis,CSURP886,Bacteroidetes,H(GUT),1,7,,8,,2,,,,19
Bartonella vinsonii,CSURB601,Proteobacteria,H,,X,,,,,,,,1
Beduinella massiliensis,CSURP2846,Firmicutes,NS,,X,,,,,,,,1
Beduini massiliensis,CSURP1140,Firmicutes,NS,,X,,,,,,,,1
Bhargavaea cecembensis,CSURP1238,Firmicutes,NH,,,,,,,X,,,1
Bifidobacterium adolescentis,CSURP830,Actinobacteria,H(GUT),1,6,,8,,,,,1,17
Bifidobacterium angulatum,ND,Actinobacteria,H(GUT),,,,X,,,,,,1
Bifidobacterium animalis,CSURP916,Actinobacteria,H(GUT),3,1,,,,,,,,5
Bifidobacterium bifidum,CSURP1194,Actinobacteria,H(GUT),,X,,6,,2,,,1,1
Bifidobacterium breve,CSURP1066,Actinobacteria,H(GUT),X,7,1,1,,2,,,,12
Bifidobacterium catenulatum,CSURP1195,Actinobacteria,H(GUT),X,7,1,3,,,,,1,13
Bifidobacterium dentium,CSURP1900,Actinobacteria,H(GUT),,,X,,,1,,,,2
Bifidobacterium longum,CSURP838,Actinobacteria,H(GUT),3,12,1,8,,3,,,1,29
Bifidobacterium pseudocatenulatum,CSURP1182,Actinobacteria,H(GUT),X,3,1,2,,,,,1,8
Bifidobacterium saeculare ,CSURP2228,Actinobacteria,NH,,,,X,,,,,,1
Bifidobacterium scardovii,CSURP985,Actinobacteria,H,X,,,,,2,,,,3
Bilophila wadsworthia,CSURP2442,Proteobacteria,H(GUT),,1,,3,,,,,,5
Bittarella massiliensis,CSURP2149,Firmicutes,NS,,,,X,,,,,,1
Blautia coccoides,CSURP1143,Firmicutes,H(GUT),2,17,1,2,,,,,1,24
Blautia hydrogenotrophica,CSURP1144,Firmicutes,H(GUT),1,9,,3,,,,,,14
Blautia massiliensis,CSURP2132,Firmicutes,NS,,,,X,,,,,1,2
Blautia phoceensis,CSURP328,Firmicutes,NS,,,,,,,,,X,1
Blautia producta,ND,Firmicutes,H(GUT),,X,,,,,,,,1
Blautia timonensis,CSURP2398,Firmicutes,NS,,,,,,,,,X,1
Bordetella bronchiseptica,ND,Proteobacteria,H,,,X,,,,,,,1
Bordetella trematum,CSURP1435,Proteobacteria,H,,,X,,,1,,,,2
Brachybacterium massiliense,CSURP2240,Actinobacteria,NS,,X,,,,,,,,1
Brassicibacter mesophilus,ND,Firmicutes,NH,,X,,,,,,,,1
Brevibacillus agri,CSURP683,Firmicutes,H,3,2,1,,,,,,,7
Brevibacillus brevis,CSURP1041,Firmicutes,H(GUT),1,1,,,,,,,,3
Brevibacillus choshinensis,CSURP2309,Firmicutes,NH,,X,,,,,,,,1
Brevibacillus formosus,ND,Firmicutes,NH,,,X,,,,,,,1
Brevibacillus laterosporus,CSURP1242,Firmicutes,H,X,3,,,,,,,,4
Brevibacillus parabrevis,CSURP1467,Firmicutes,H,,X,,,,,,,,1
Brevibacterium casei,CSURP787,Actinobacteria,H,4,3,,,,2,,,,1
Brevibacterium celere,CSURP758,Actinobacteria,NH,X,1,,,,,,,,2
Brevibacterium halotolerans,ND,Actinobacteria,NH,,,,,,,,,,1
Brevibacterium luteolum,CSURP649,Actinobacteria,H,2,4,,,,,,,,7
Brevibacterium massiliense,CSURP878,Actinobacteria,H,1,2,,,,,,,,4
Brevibacterium otitidis,CSURP1286,Actinobacteria,H,,X,,,,,,,,1
Brevibacterium paucivorans,CSURP1067,Actinobacteria,H,,X,,1,,,,,,2
Brevibacterium phoceense,CSURP1527,Actinobacteria,NS,,,,X,,,,,,1
Brevibacterium pityocampae,CSURP817,Actinobacteria,NH,,,,,,,,,,1
Brevibacterium ravenspurgense,CSURP669,Actinobacteria,H,2,4,,,,2,,,,9
Brevibacterium senegalense,CSURP155,Actinobacteria,NS,,,,,,,,,,1
Brevundimonas diminuta,CSURP631,Proteobacteria,H,1,,,2,,1,,,,5
Butyricimonas phoceensis,CSURP2023,Bacteroidetes,NS,,,X,,,,,,,1
Butyricimonas timonensis,CSURP2440,Bacteroidetes,NS,,,,X,,,,,,1
Butyricimonas virosa,ND,Bacteroidetes,H,1,3,,,1,,,,,6
Caecumella massiliensis,CSURP2974,Firmicutes,NS,,,,,,,,,X,1
Campylobacter coli,CSURP1471,Proteobacteria,H(GUT),,,,X,,,,,,1
Campylobacter concisus,ND,Proteobacteria,H(GUT),,,,,,,,,X,1
Campylobacter gracilis,CSURP3167,Proteobacteria,H(GUT),,,,,,,,,X,1
Campylobacter jejuni,ND,Proteobacteria,H(GUT),,,,X,,,,,,1
Campylobacter showae,ND,Proteobacteria,H(GUT),,,,,,,,,X,1
Campylobacter ureolyticus,CSURP1068,Proteobacteria,H(GUT),,,,X,,,,,,1
Capnocytophaga gingivalis,CSURP893,Bacteroidetes,H,X,3,,,,,,,,4
Capnocytophaga granulosa,ND,Bacteroidetes,H,,,,,,,,,X,1
Capnocytophaga ochracea,ND,Bacteroidetes,H(GUT),,,,,,,,,X,1
Capnocytophaga sputigena,CSURP717,Bacteroidetes,H,,1,,,,,,,,2
Carnobacterium divergens,CSURP1243,Firmicutes,H(GUT),X,,,,,2,,,,3
Carnobacterium maltaromaticum,ND,Firmicutes,H,,,,,,X,,,,1
Carnobacterium mobile,CSURP1462,Firmicutes,NH,,X,,,,,,,,1
Casaltella massiliensis,CSURP3111,Firmicutes,H,,,,,,,,,X,1
Catabacter hongkongensis,CSURP2084,Firmicutes,H(GUT),,,1,1,,,,1,,4
Catenibacterium mitsuokai,CSURP2933,Firmicutes,H(GUT),,,,,,,,,X,1
Cedecea lapagei,CSURP1164,Proteobacteria,H,,X,,,,,,,,1
Cedecea neteri,CSURP1165,Proteobacteria,H,,X,,,,,,,,1
